7-Eleven Inc.
AT&T Inc.
Abbott Laboratories
Abry
Abry Partners
Advanced Micro Devices Inc.
Alleghany Corporation
Alliance Data Systems Corporation
AllianceBernstein L.P.
Amazon
American Midstream Partners Lp
American Modern Insurance Group
Amgen Inc.
Amplifon Usa Inc.
Anderson Group Inc.
Apogee Enterprises Inc.
Apple
Archer Daniels Midland Company
Arizona State University
Aruba Networks Inc.
Assurant Inc.
Auburn University
Automatic Data Processing Inc.
Avery Dennison Corporation
Aviall Inc.
Avis Budget Group Inc.
Avx Corporation
Balfour Beatty Capital Inc.
Bba Aviation
BlackRock Inc
Blank Rome Llp
Bloomberg Inc.
Booking Holdings Inc.
BorgWarner Inc.
Brigham Young University
Burlington Coat Factory Warehouse Corporation
Capcom Usa INC.
Capital One Financial Corporation
Carestream Health Inc.
Carlisle Companies Incorporated
Carrier Corporation
Cgi Federal Inc.
Chemonics
Chilli's
Clarion Corporation Of America
Clark
Clark Enterprise
Coloplast Corp.
Computershare INC.
Coty Inc.
Cowen Group INC.
Crate&Barrel
Cvc Capital Ptrs Advisory (US) Inc.
DAVIDSON KEMPNER CAPITAL MANAGEMENT LP
Darden Restaurants Inc.
Dell
Disney
Distribution International Inc.
Docusign Inc.
Dorsey & Whitney Llp
DoveBid Valuation Services Inc.
Dry Creek Corporation
Dycom Industries INC.
EISAI Inc.
Exxon
FedEx Corporation.
Federal Home Loan Bank Of Atlanta
Fisher & Phillips LLP
Flowserve Corporation
Forever 21 Inc.
Franklin Resources Inc.
Freeport-Mcmoran Copper & Gold Inc.
GIS Special Investments Private Limited
Galderma Laboratories Lp
General Electric
General Motors
Genesco Inc.
Global Payments INC
Golden Gate Capital LP
Goldentree Asset Management Lp
Google
Graftech International Ltd.
Grey Global Group
Group M Worldwide Inc.
Hajoca Corp.
Health Insurance
Hewlett Packard Enterprise Company
Hewlett-Packard Company
Hilton
Hogan Lovells Us Llp
Honeywell International Inc.
Hsbc - North America Holdings Inc.
Ifs North America Inc.
Ims Inc.
Ingram Micro Inc
Intelligent Decisions
International Business Machines
International Business Machines Corporation
J. Walter Thompson U.S.A. LLC
Jcpenny
Johnson & Johnson
KKR Financial Services
Keller
Keurig Dr Pepper Inc.
Kimco Realty Corporation.
Kirkland & Ellis Llp
Knight-Swift Transportation Holdings Inc.
Kratos Defense & Security Solutions
L.L. Bean Inc.
LMI aerospace
Landmak Aviation
Levi Strauss & Company
Liberty Global Inc.
Lindsay Goldberg LLC
LinkedIn Corporation
Lowe's Companies Inc
Macy's Inc.
Madison Dearborn Partners LLC.
Markel Corporation
Marriott
Marubeni America Corporation
Maserati
Maurices Inc.
McDonald Group inc.
Menasha Corporation
Mfs Investment Management
Mini copper
Motus Integrated Technologies
Murphy Oil Corporation.
NVR Inc.
Nacco Industries Inc.
Navistar International Corporation
Newell Brands Inc.
Nike
Nintendo Of America Inc.
Northern Trust Corporation
Oakwood Worldwide (US) LP
Odyssey Re Holdings Corp.
Office Depot Inc.
Old Republic International Corporation
Outfront Media INC.
Oxbow Carbon LLC.
P.h. Glatfelter Company
PF chang
PG&E Corporation
Pacific Investment Management Co Llc
Pacific Life
Payless Shoesource Inc.
Pepsico
Perkins Coie Llp
Pfizer Inc.
Pitney Bowes Inc.
Platte River Equity
Polycom Inc.
Praxair Inc.
Puma
Quad-C Management Inc.
R Metlife
Radioshack Corporation
Range Rover Smithtown
Rayonier INC.
Rbs Securities Inc.
Reebok
Regal cinemas
Roland Berger Strategy Consultants
SECURITAS SECURITY SERVICES USA INC.
SPX Corporation
Sabra Health Care REIT Inc.
Salesforce.com Inc.
San Jose State University
Sasol North America Inc.
Savers Inc.
Schneider National INC.
Schulte Roth & Zabel Llp
Sepracor Inc.
Sirius Xm Radio INC.
Skechers U.S.A. Inc.
Smith & Nephew Inc.
Societe Generale
Society
Society Insurance
Southwest Gas Corporation
Starwood Capital Group Global LLC.
Steel Technologies LLC
Sumitomo
Sun Life Financial
TA Associates LP
Tachi-S Engineering U.s.a. Inc.
Target
Tata
Tata Motors
Tech Data Corporation
Tesla
Texas Roadhouse
The Andersons Inc.
The Pennsylvania State University
The Timken Company
The Travelers Companies Inc.
The University Of Texas At Austin
The Vanguard Group Inc.
Tibco Software Inc.
Toyota Boshoku America Inc.
Toyotetsu America INC.
Tractor Supply Company
Travelcenters Of America LLC.
Trinity Industries INC.
Trustees of Dartmouth College
Tuesday Morning Corporation
U.S. Department Of The Treasury
Ureach Technologies Inc.
Venture
Volkswagen Group of America Inc.
Wells Fargo & CO.
Wilmer Cutler Pickering Hale And Dorr LLP
Wpp Group Usa INC.
Xerium Technologies Inc.
YETI Coolers LLC
Yankee Candle Company INC.
Yum Brands
Zumiez Inc.
aig
cheesecake factory
coca cola
community brands
dsw
emergent
emergent biosolutions
facebook
landmark aviation
pepsi
samsung
southwest
NOT_FOUND
NOT_FOUND
NOT_FOUND
NOT_FOUND
NOT_FOUND
NOT_FOUND
NOT_FOUND
NOT_FOUND
NOT_FOUND
NOT_FOUND
NOT_FOUND
NOT_FOUND
NOT_FOUND
NOT_FOUND
NOT_FOUND
NOT_FOUND
NOT_FOUND
NOT_FOUND
NOT_FOUND
NOT_FOUND
